"","Akomba","Bokombolo","Fitsidika","Fotsife","Kandrandra","Tongono","Tsidy","Tsitsihy"
"Albizia",0,0,0,0,0,41.3793103448276,0,0
"Allophylus",0,0,0,0,0,24.8275862068966,0,0
"Antirhea",0,0,0,0,0,16.551724137931,0,0
"Aphloia",55.1724137931035,19.3103448275862,115.862068965517,151.724137931035,157.241379310345,66.2068965517241,154.48275862069,452.413793103448
"Aspidostemon",55.1724137931035,0,0,0,0,0,0,0
"Breonadia",0,0,0,0,0,281.379310344828,0,0
"Breonia",82.7586206896552,28.9655172413793,173.793103448276,0,0,99.3103448275862,231.724137931035,0
"Bridelia",6.89655172413793,2.41379310344828,0,0,0,0,0,56.551724137931
"Burasaia",6.89655172413793,2.41379310344828,14.4827586206897,18.9655172413793,19.6551724137931,8.27586206896552,19.3103448275862,56.551724137931
"Calophyllum",593.103448275862,207.586206896552,1245.51724137931,1631.03448275862,1690.34482758621,711.724137931034,1660.68965517241,4863.44827586207
"Campnosperma",275.862068965517,96.551724137931,579.310344827586,758.620689655172,786.206896551724,331.034482758621,772.413793103448,2262.06896551724
"Campylospermum",0,0,0,0,0,8.27586206896552,0,0
"Canarium",1151.72413793103,403.103448275862,2418.62068965517,3167.24137931034,3282.41379310345,1382.06896551724,3224.8275862069,9444.13793103448
"Canthium",0,0,0,0,0,1456.55172413793,3398.62068965517,0
"Cinnamosma",0,0,0,0,0,41.3793103448276,0,0
"Cryptocarya",4393.10344827586,1537.58620689655,9225.51724137931,12081.0344827586,12520.3448275862,5271.72413793103,12300.6896551724,36023.4482758621
"Dalbergia",0,0,0,0,0,8.27586206896552,0,0
"Diospyros",310.344827586207,108.620689655172,651.724137931035,853.448275862069,884.48275862069,372.413793103448,868.965517241379,2544.8275862069
"Dracaena",413.793103448276,144.827586206897,868.965517241379,0,1179.31034482759,0,1158.62068965517,3393.10344827586
"Dypsis",0,0,3548.27586206897,0,4815.51724137931,2027.58620689655,4731.03448275862,13855.1724137931
"Ephippiandra",27.5862068965517,0,0,0,0,33.1034482758621,0,0
"Eugenia",0,4.82758620689655,0,0,0,16.551724137931,0,0
"Ficus",34.4827586206897,12.0689655172414,72.4137931034483,94.8275862068965,98.2758620689655,41.3793103448276,96.551724137931,282.758620689655
"Gambeya",34.4827586206897,12.0689655172414,72.4137931034483,94.8275862068965,98.2758620689655,41.3793103448276,96.551724137931,282.758620689655
"Garcinia",1144.8275862069,400.689655172414,2404.13793103448,3148.27586206897,3262.75862068965,1373.79310344828,3205.51724137931,9387.58620689655
"Grewia",406.896551724138,142.413793103448,0,1118.96551724138,0,488.275862068966,0,0
"Harungana",0,0,0,0,0,124.137931034483,0,0
"Hyperacanthus",1206.89655172414,422.413793103448,2534.48275862069,3318.96551724138,3439.65517241379,1448.27586206897,3379.31034482759,9896.55172413793
"Ludia",6.89655172413793,2.41379310344828,14.4827586206897,18.9655172413793,19.6551724137931,0,0,56.551724137931
"Macaranga",420.689655172414,0,0,0,0,0,0,0
"Mammea",379.310344827586,132.758620689655,796.551724137931,1043.10344827586,1081.03448275862,455.172413793103,1062.06896551724,3110.34482758621
"Mantalania",0,0,0,0,0,786.206896551724,0,0
"Melanophylla",0,0,0,0,0,49.6551724137931,0,0
"Micronychia",0,0,0,0,0,74.4827586206897,0,0
"Mimusops",103.448275862069,36.2068965517241,0,0,0,0,0,848.275862068966
"Noronhia",6.89655172413793,2.41379310344828,0,18.9655172413793,0,8.27586206896552,0,0
"Oncostemum",0,132.758620689655,0,0,0,455.172413793103,1062.06896551724,0
"Pandanus",1186.20689655172,415.172413793103,2491.03448275862,3262.06896551724,3380.68965517241,1423.44827586207,3321.37931034483,9726.89655172414
"Paropsia",20.6896551724138,7.24137931034483,43.448275862069,56.8965517241379,58.9655172413793,24.8275862068966,57.9310344827586,169.655172413793
"Pauridiantha",0,0,0,0,0,91.0344827586207,0,0
"Phyllarthron",117.241379310345,41.0344827586207,246.206896551724,322.413793103448,334.137931034483,140.689655172414,328.275862068966,961.379310344828
"Pittosporum",0,0,0,0,0,148.965517241379,0,0
"Polyscias",2296.55172413793,803.793103448276,4822.75862068965,6315.51724137931,6545.1724137931,2755.86206896552,6430.34482758621,18831.724137931
"Potameia",1027.58620689655,359.655172413793,2157.93103448276,2825.86206896552,2928.62068965517,1233.10344827586,2877.24137931035,8426.20689655172
"Symphonia",1068.96551724138,374.137931034483,2244.8275862069,2939.65517241379,3046.55172413793,1282.75862068966,2993.10344827586,8765.51724137931
"Syzygium",6234.48275862069,2182.06896551724,13092.4137931034,17144.8275862069,17768.275862069,7481.37931034483,17456.5517241379,51122.7586206897
"Tambourissa",1310.34482758621,458.620689655172,2751.72413793103,3603.44827586207,3734.48275862069,1572.41379310345,3668.96551724138,10744.8275862069
"Trilepisium",200,70,420,550,570,240,560,1640
"Trophis",641.379310344828,224.48275862069,1346.89655172414,1763.79310344828,1827.93103448276,769.655172413793,1795.86206896552,5259.31034482759
"Turraea",82.7586206896552,28.9655172413793,173.793103448276,227.586206896552,235.862068965517,99.3103448275862,231.724137931035,678.620689655172
"Uapaca",489.655172413793,171.379310344828,1028.27586206897,1346.55172413793,1395.51724137931,587.586206896552,1371.03448275862,4015.1724137931
"Voacanga",0,0,0,0,0,314.48275862069,0,0
"Weinmannia",634.48275862069,222.068965517241,1332.41379310345,1744.8275862069,1808.27586206897,761.379310344828,1776.55172413793,5202.75862068966
"Xylopia",41.3793103448276,14.4827586206897,0,0,117.931034482759,49.6551724137931,115.862068965517,339.310344827586
"Zanthoxylum",27.5862068965517,9.6551724137931,57.9310344827586,75.8620689655173,78.6206896551724,33.1034482758621,77.2413793103448,226.206896551724
